n partitions	n workers	list size	perc globals	perc writes	n ops	cos size	TP
2	1	1000	0	0	10000000	150	268450
2	2	1000	0	0	10000000	150	426694
2	3	1000	0	0	10000000	150	443859
2	4	1000	0	0	10000000	150	373020
2	5	1000	0	0	10000000	150	464580
2	6	1000	0	0	10000000	150	414078
2	7	1000	0	0	10000000	150	401234
2	8	1000	0	0	10000000	150	406666
2	9	1000	0	0	10000000	150	386431
2	10	1000	0	0	10000000	150	398508
2	11	1000	0	0	10000000	150	368763
2	12	1000	0	0	10000000	150	396517
2	13	1000	0	0	10000000	150	408008
2	14	1000	0	0	10000000	150	369988
2	15	1000	0	0	10000000	150	375159
2	16	1000	0	0	10000000	150	417378
2	17	1000	0	0	10000000	150	436019
2	18	1000	0	0	10000000	150	407300
2	19	1000	0	0	10000000	150	408942
2	20	1000	0	0	10000000	150	423671
2	21	1000	0	0	10000000	150	433568
2	22	1000	0	0	10000000	150	397880
2	23	1000	0	0	10000000	150	391552
2	24	1000	0	0	10000000	150	405465
2	26	1000	0	0	10000000	150	450425
4	1	1000	0	0	10000000	150	272417
4	2	1000	0	0	10000000	150	271454
4	3	1000	0	0	10000000	150	263074
4	4	1000	0	0	10000000	150	257234
4	5	1000	0	0	10000000	150	251850
4	6	1000	0	0	10000000	150	256311
4	7	1000	0	0	10000000	150	246525
4	8	1000	0	0	10000000	150	244743
4	9	1000	0	0	10000000	150	239324
4	10	1000	0	0	10000000	150	265421
4	11	1000	0	0	10000000	150	244754
4	12	1000	0	0	10000000	150	238280
4	13	1000	0	0	10000000	150	269222
4	14	1000	0	0	10000000	150	234185
4	15	1000	0	0	10000000	150	266589
4	16	1000	0	0	10000000	150	211755
4	17	1000	0	0	10000000	150	259968
4	18	1000	0	0	10000000	150	272592
4	19	1000	0	0	10000000	150	258006
4	20	1000	0	0	10000000	150	225232
4	21	1000	0	0	10000000	150	235011
4	22	1000	0	0	10000000	150	247882
4	23	1000	0	0	10000000	150	241810
4	24	1000	0	0	10000000	150	239398
4	26	1000	0	0	10000000	150	277115
6	1	1000	0	0	10000000	150	227004
6	2	1000	0	0	10000000	150	240061
6	3	1000	0	0	10000000	150	227313
6	4	1000	0	0	10000000	150	227733
6	5	1000	0	0	10000000	150	212382
6	6	1000	0	0	10000000	150	215952
6	7	1000	0	0	10000000	150	215460
6	8	1000	0	0	10000000	150	222224
6	9	1000	0	0	10000000	150	242469
6	10	1000	0	0	10000000	150	227434
6	11	1000	0	0	10000000	150	204774
6	12	1000	0	0	10000000	150	222376
6	13	1000	0	0	10000000	150	208305
6	14	1000	0	0	10000000	150	226925
6	15	1000	0	0	10000000	150	207271
6	16	1000	0	0	10000000	150	219641
6	17	1000	0	0	10000000	150	219637
6	18	1000	0	0	10000000	150	232575
6	19	1000	0	0	10000000	150	194422
6	20	1000	0	0	10000000	150	214746
6	21	1000	0	0	10000000	150	209032
6	22	1000	0	0	10000000	150	229607
6	23	1000	0	0	10000000	150	202551
6	24	1000	0	0	10000000	150	219142
6	26	1000	0	0	10000000	150	223781
2	1	1000	1	0	10000000	150	300055
2	2	1000	1	0	10000000	150	362772
2	3	1000	1	0	10000000	150	418049
2	4	1000	1	0	10000000	150	346213
2	5	1000	1	0	10000000	150	341579
2	6	1000	1	0	10000000	150	407297
2	7	1000	1	0	10000000	150	356634
2	8	1000	1	0	10000000	150	422547
2	9	1000	1	0	10000000	150	401675
2	10	1000	1	0	10000000	150	370838
2	11	1000	1	0	10000000	150	437446
2	12	1000	1	0	10000000	150	425744
2	13	1000	1	0	10000000	150	356121
2	14	1000	1	0	10000000	150	359058
2	15	1000	1	0	10000000	150	406177
2	16	1000	1	0	10000000	150	443698
2	17	1000	1	0	10000000	150	415934
2	18	1000	1	0	10000000	150	432975
2	19	1000	1	0	10000000	150	457586
2	20	1000	1	0	10000000	150	457893
2	21	1000	1	0	10000000	150	460999
2	22	1000	1	0	10000000	150	438640
2	23	1000	1	0	10000000	150	414825
2	24	1000	1	0	10000000	150	459539
2	26	1000	1	0	10000000	150	421389
4	1	1000	1	0	10000000	150	261211
4	2	1000	1	0	10000000	150	246450
4	3	1000	1	0	10000000	150	277370
4	4	1000	1	0	10000000	150	252045
4	5	1000	1	0	10000000	150	245165
4	6	1000	1	0	10000000	150	231006
4	7	1000	1	0	10000000	150	243584
4	8	1000	1	0	10000000	150	240612
4	9	1000	1	0	10000000	150	245350
4	10	1000	1	0	10000000	150	235628
4	11	1000	1	0	10000000	150	252528
